review.code,review.type,planning,protocol,administration,fte,databases,db.day,greylit,greylit.day,reflists,add.search,orig.articles,new.articles,percent.unique,deduping,initial.screening,titles.day,titles.retained,titles.checked,abstracts.day,abstracts.retained,abstracts.checked,ta.day,ta.retained,ta.checked,retrieval.day,retrieval.retained,retrieval.checked,ft.day,ft.retained,ft.checked,mdextraction.day,mdextraction.retained,mdextraction.checked,ca.day,ca.retained,ca.checked,dextraction.day,dextraction.retained,dextraction.checked,dprep.day,dprep.retained,dprep.checked,synthesis,reportwriting,comms,meetings
SM1,SR,20,5,19,1,10,4,2,12,10,2,54359,103916,71.0461929,1.4,t.and.a,,,,,,,468.14,1.923873641,10,171,110.6,0,44,35.4,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM2,SR,20,5,19,1,8,4,33,12,10,2,9853,10302,85.23292398,1.4,t.then.a,854,17.53989045,10,192,44.12763069,10,,,,171,69.93006993,0,44,37,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM3,SR,20,5,19,1,3,4,1,12,10,2,40377,55605,29.35312416,1.4,t.then.a,854,37.0428559,10,192,26.36663525,10,,,,171,93.02949062,0,44,59.03846154,10,16.7,100,0,11.7,100,0,0,0,0,0,0,0,0,15,10,4
SM4,SR,20,5,19,1,11,4,32,12,10,2,146941,,50.55498465,1.4,t.then.a,854,18.1,10,192,26.4,10,,,,171,110.6,0,44,35.4,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM5,SR,20,5,19,1,17,4,27,12,10,2,41875,75313,58.61970149,1.4,t.then.a,854,23.36334379,10,192,30.09590235,10,,,,171,88.53362734,0,44,32.6446281,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM6,SR,20,5,19,1,15,4,47,12,10,2,8039,10404,72.63586035,1.4,t.then.a,854,31.43568207,10,192,45.02721425,10,,,,171,87.84046693,0,44,7.474518686,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM7,SR,20,5,19,1,13,4,26,12,10,2,33942,46789,48.56519946,1.4,t.then.a,854,37.2603737,10,192,25.56170628,10,,,,171,97.10556186,0,44,45.28944381,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM8,SR,20,5,19,1,4,4,26,12,10,2,11491,43730,96.3275607,1.4,t.and.a,,,,,,,468.14,1.201553889,10,171,110.6,0,44,12.78195489,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM9,SR,20,5,19,1,13,4,30,12,10,2,35782,182312,97.99899391,1.4,t.and.a,,,,,,,468.14,8.761355196,10,171,96.67427454,0,44,34.00717313,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
SM10,SR,20,5,19,1,5,4,33,12,10,2,21147,,90.31541117,1.4,t.then.a,854,26.9510219,10,192,28.064391,10,,,,171,94.74775397,0,44,54.41283735,10,16.7,100,0,11.7,27.4,0,0,0,0,0,0,0,0,15,10,4
